issue_type,location_type,duration_days,description,priority
pothole,main_road,14,"Large pothole on the road, car damage likely",high
streetlight,highway,39,Pole lamp broken and leaning. causing accidents,high
streetlight,highway,3,"Streetlight not working at night, area dark. immediate attention needed",high
drainage,main_road,4,Standing water near drain after rain,high
garbage,highway,8,Pile of household waste blocking pedestrian path. low priority,high
streetlight,residential,15,Light out on the main road intersection,medium
streetlight,highway,6,"Flickering streetlight, sparks visible. please fix soon",high
pothole,highway,3,Multiple potholes across the lane. low priority,medium
streetlight,main_road,3,Light out on the main road intersection. hazardous,high
garbage,highway,8,"Overflowing garbage bin, foul smell",high
garbage,highway,0,Illegal dumping near drainage,low
garbage,residential,6,Scattered trash on street after collection missed. please fix soon,medium
streetlight,main_road,3,Pole lamp broken and leaning. low priority,medium
pothole,main_road,11,"Pothole filled with water, hidden hazard",high
streetlight,highway,0,Pole lamp broken and leaning. low priority,high
garbage,main_road,6,Pile of household waste blocking pedestrian path,high
drainage,main_road,4,Drainage blocked with garbage and leaves,high
streetlight,residential,7,Pole lamp broken and leaning. immediate attention needed,medium
drainage,alley,0,"Open drainage cover, dangerous for pedestrians",low
pothole,main_road,6,"Large pothole on the road, car damage likely",medium
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals",medium
pothole,main_road,5,"Large pothole on the road, car damage likely. not urgent",medium
streetlight,main_road,6,Light out on the main road intersection,medium
streetlight,highway,7,Pole lamp broken and leaning,high
pothole,highway,11,"Large pothole on the road, car damage likely",high
garbage,alley,2,Pile of household waste blocking pedestrian path,high
garbage,main_road,12,"Garbage dumped near sidewalk, attracting animals",high
pothole,main_road,4,"Large pothole on the road, car damage likely",medium
garbage,alley,0,Scattered trash on street after collection missed,low
streetlight,highway,0,"Flickering streetlight, sparks visible. low priority not urgent",high
streetlight,residential,2,Light out on the main road intersection. hazardous,high
pothole,main_road,10,"Pothole filled with water, hidden hazard",high
streetlight,highway,8,Pole lamp broken and leaning. immediate attention needed,high
garbage,alley,10,"Garbage dumped near sidewalk, attracting animals",medium
streetlight,highway,5,"Flickering streetlight, sparks visible. causing accidents",high
drainage,highway,4,Sewage backup overflowing onto street,high
drainage,highway,1,Drainage blocked with garbage and leaves. causing accidents,high
streetlight,alley,2,Light out on the main road intersection,low
streetlight,highway,3,"Streetlight not working at night, area dark",high
streetlight,highway,0,"Flickering streetlight, sparks visible",high
pothole,residential,1,"Large pothole on the road, car damage likely",low
pothole,residential,6,Deep pothole causing vibration to vehicles,medium
pothole,residential,9,"Large pothole on the road, car damage likely",medium
streetlight,main_road,44,"Streetlight intermittent, safety concern",medium
pothole,highway,18,Deep pothole causing vibration to vehicles. not urgent,high
drainage,main_road,7,Standing water near drain after rain,high
drainage,alley,3,Standing water near drain after rain. immediate attention needed,medium
drainage,highway,7,Drainage blocked with garbage and leaves. causing accidents,high
pothole,alley,10,Small pothole near the curb,medium
drainage,residential,0,Drainage blocked with garbage and leaves,low
streetlight,main_road,3,Pole lamp broken and leaning,medium
garbage,residential,12,Illegal dumping near drainage. immediate attention needed,high
streetlight,alley,3,Light out on the main road intersection. not urgent needs quick fix,medium
streetlight,highway,5,Pole lamp broken and leaning,high
garbage,alley,6,Illegal dumping near drainage,medium
streetlight,residential,1,"Streetlight intermittent, safety concern. not urgent low priority",low
streetlight,residential,3,Light out on the main road intersection. needs quick fix,medium
streetlight,highway,2,Pole lamp broken and leaning,high
pothole,residential,0,"Pothole filled with water, hidden hazard",low
drainage,main_road,0,"Drain clogged, water overflowing onto road",high
streetlight,main_road,12,"Streetlight intermittent, safety concern",high
pothole,alley,2,"Large pothole on the road, car damage likely",low
streetlight,highway,5,"Streetlight not working at night, area dark",high
drainage,main_road,2,Sewage backup overflowing onto street. causing accidents,high
drainage,residential,19,Standing water near drain after rain,high
drainage,highway,2,"Drain clogged, water overflowing onto road",high
pothole,alley,3,"Pothole filled with water, hidden hazard. please fix soon",medium
drainage,main_road,14,"Drain clogged, water overflowing onto road. immediate attention needed",high
garbage,alley,12,"Garbage dumped near sidewalk, attracting animals",high
pothole,highway,1,"Large pothole on the road, car damage likely",low
garbage,highway,11,"Overflowing garbage bin, foul smell",high
drainage,highway,4,Sewage backup overflowing onto street,high
streetlight,residential,4,Light out on the main road intersection. please fix soon,medium
garbage,main_road,1,"Overflowing garbage bin, foul smell. needs quick fix",high
garbage,highway,0,"Garbage dumped near sidewalk, attracting animals",low
garbage,residential,9,Illegal dumping near drainage,medium
garbage,alley,4,Scattered trash on street after collection missed,medium
garbage,main_road,4,Illegal dumping near drainage,high
drainage,alley,9,Standing water near drain after rain. please fix soon,high
streetlight,main_road,10,"Streetlight not working at night, area dark. hazardous",high
garbage,main_road,1,"Overflowing garbage bin, foul smell. needs quick fix",high
drainage,highway,6,Drainage blocked with garbage and leaves. please fix soon,high
drainage,highway,1,Standing water near drain after rain,low
pothole,residential,9,Deep pothole causing vibration to vehicles,medium
garbage,residential,7,"Garbage dumped near sidewalk, attracting animals. needs quick fix",medium
pothole,highway,21,"Pothole filled with water, hidden hazard",high
pothole,main_road,0,Multiple potholes across the lane,low
garbage,highway,0,"Overflowing garbage bin, foul smell",high
garbage,main_road,2,Illegal dumping near drainage. immediate attention needed,low
garbage,residential,2,Scattered trash on street after collection missed,low
streetlight,main_road,1,"Flickering streetlight, sparks visible. causing accidents",high
streetlight,residential,16,Light out on the main road intersection,medium
drainage,main_road,2,Sewage backup overflowing onto street,high
streetlight,alley,2,"Flickering streetlight, sparks visible. immediate attention needed",high
pothole,residential,9,Deep pothole causing vibration to vehicles. immediate attention needed,medium
streetlight,highway,4,"Streetlight not working at night, area dark",high
pothole,residential,10,Multiple potholes across the lane,medium
pothole,main_road,0,Small pothole near the curb. not urgent,low
streetlight,residential,4,"Streetlight intermittent, safety concern",medium
drainage,highway,0,Sewage backup overflowing onto street. causing accidents,high
streetlight,highway,0,"Flickering streetlight, sparks visible",high
garbage,residential,16,Illegal dumping near drainage,high
streetlight,alley,1,"Flickering streetlight, sparks visible. causing accidents",high
pothole,main_road,5,Deep pothole causing vibration to vehicles. urgent,medium
pothole,main_road,3,Multiple potholes across the lane,medium
garbage,residential,2,Scattered trash on street after collection missed. not urgent,low
garbage,alley,16,Pile of household waste blocking pedestrian path. low priority,high
drainage,main_road,0,Standing water near drain after rain,low
garbage,alley,7,Scattered trash on street after collection missed,medium
garbage,residential,23,"Garbage dumped near sidewalk, attracting animals. low priority",high
streetlight,alley,5,"Flickering streetlight, sparks visible",high
drainage,alley,19,Standing water near drain after rain. urgent,high
streetlight,main_road,0,"Streetlight not working at night, area dark",low
streetlight,residential,3,"Streetlight intermittent, safety concern",medium
pothole,residential,2,"Pothole filled with water, hidden hazard. please fix soon",low
pothole,highway,9,"Pothole filled with water, hidden hazard",high
garbage,main_road,27,Pile of household waste blocking pedestrian path,high
pothole,highway,2,Small pothole near the curb. hazardous,high
drainage,main_road,7,"Drain clogged, water overflowing onto road",high
pothole,alley,1,"Large pothole on the road, car damage likely. please fix soon",low
drainage,highway,5,Standing water near drain after rain,high
streetlight,main_road,4,"Streetlight intermittent, safety concern",medium
pothole,alley,25,"Pothole filled with water, hidden hazard",high
pothole,main_road,6,Multiple potholes across the lane. please fix soon needs quick fix,medium
pothole,residential,3,Multiple potholes across the lane. not urgent,medium
pothole,residential,0,Small pothole near the curb. needs quick fix,low
pothole,alley,1,"Large pothole on the road, car damage likely. immediate attention needed",low
pothole,main_road,1,Small pothole near the curb,low
drainage,highway,2,"Open drainage cover, dangerous for pedestrians",low
